X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
2.161862573342106e-8,3.4446242860522236e-6,5.132808581116421e-4,0.027834877496534176,0.002404377390257117,0.0024343747184974434,5.23829273783522e-4,0.0014522527551696918,3.945926323478721e-4,1.1293852444971275e-4,4.2792085891122746e-5,6.086182461511107e-6
2.9603817208734284e-6,0.0017369963740369349,0.004815810154578626,0.014720311012687892,0.013504570703485319,0.015241487322732006,0.011541965888330452,0.006601466765777775,1.6790671252163517e-4,6.558274581518475e-5,1.935629570882679e-5,4.920397931318377e-7
1.1216857624951615e-6,5.335914901181416e-5,0.026432172596299056,0.010718355531701529,0.028328695821211336,0.01887661874155122,0.03915255631557782,0.027260023056403515,4.5812673315717375e-4,0.00023567895455228361,0.0016224909780965062,1.072572872246232e-4
1.468492871747884e-8,3.2544101912717556e-6,0.001267011961351594,2.9824862610145403e-4,6.842290610287513e-4,2.3862153145814968e-4,0.0011017770061468868,2.540198562283047e-4,1.5274484751431568e-5,4.3216935471638664e-5,3.974086085227757e-4,1.698767659131021e-6
7.567233997076586e-9,2.8268110040079175e-6,3.9899412478910934e-4,0.004895873792154726,2.613579809364053e-4,0.0356424996514024,0.001331265639299195,0.0020237768565618767,5.567405674022918e-5,0.002116328771224585,4.2107959695244133e-5,1.4373607581122383e-4
1.224109841659049e-5,2.8598338621374107e-4,0.0016697938627196582,0.015032402116242793,0.0020528293689539272,0.008435604967243021,0.001198313367453685,0.00490461735925463,6.141957658786223e-4,4.247724579949549e-4,0.00365806427735349,6.582200120647252e-4
3.839412180732935e-7,7.900238868301695e-5,0.03601374000936057,0.037894868483110855,0.0013527119065620864,0.004691337369066351,0.0020294164550567206,0.004744976472833229,8.841382262488714e-4,4.371627828207575e-4,2.7434126774324424e-4,3.083026983818904e-6
2.4357785233658502e-6,0.003123701527926901,0.014072872939869252,0.403919908661189,0.009750266812354929,0.04075367998609394,2.759152204248639e-4,0.0010186194945497329,1.984939579315892e-4,5.211138147575679e-4,0.0019523558169483035,5.069258331611426e-4
3.5439094341655727e-7,6.469436489631164e-5,0.006750684605086654,9.31415677716263e-5,1.6498831391509317e-4,2.386521040220746e-4,7.928189463134843e-5,5.502986494366152e-5,1.0520543186326206e-5,3.053320750644646e-5,1.6154140085322677e-5,1.1769053064880631e-7
4.2568149474929744e-5,0.022635860622697512,0.07996305796936919,0.06113689425183921,0.030822296274753302,0.014617935945945515,0.03582325876926007,0.0023862368643662773,2.9980390369123265e-4,3.245488764755517e-4,9.711976214243911e-6,1.856253057930246e-7
1.3957993075792562e-4,0.00625469513130017,0.004436931979202918,0.021500282249465985,0.015622150100128199,1.6035719255946823e-4,0.0029759485781567815,0.0011439504624553194,1.1118464005499223e-4,2.4499345102024783e-4,6.740140889014032e-5,6.309289296673011e-5
1.1663723253896308e-7,2.1109361466153942e-5,8.634417848933928e-4,0.024462067766834572,0.002348711518847746,9.630788996309981e-4,0.0024664334342326443,9.89084738515381e-5,5.8034025625319785e-5,1.6714308980869674e-5,1.4648407502537708e-6,4.503900082863943e-5
2.269091935982644e-4,0.031076684691708666,0.018303824649480993,0.006791720465595248,0.006437123922053152,3.881613966664463e-4,1.0887374486012735e-4,4.442039785212959e-5,5.439996839524021e-4,1.8971264848599567e-4,5.973025646799357e-5,2.0627438116149754e-5
3.9844407517871103e-08,1.805979422026757e-4,0.014475892249549371,0.006883931300243229,0.0464585413224532,0.01695669807411171,0.033739370489346165,0.0032855893187249993,0.004340361960356254,2.356569641714934e-4,4.892686841125373e-5,6.700969617878e-5
1.2010766156311803e-5,8.057550952951242e-4,0.051084906942606145,0.6373696600166834,0.043765838527655414,0.09335110963764308,0.005047226405222935,0.024865440026674603,0.0017131357867481768,0.008465995296351218,1.0659003003675473e-4,7.952205697707715e-5
1.4498633126747153e-6,0.0057273326768925575,0.0028314306705684578,0.030223515652143984,0.002544102484021482,0.014811497658517747,0.004371293099574962,0.01380025743441371,0.022258269202606585,0.001070118954797289,0.0013049766467258417,0.0010324192294489665
3.121895478098158e-5,0.00425674000190724,0.9142247510043254,0.007466559297860664,0.016633761685319763,0.0032075740484864834,0.011317355183382012,0.03241752565791156,0.009903687974897601,0.0011370264613649317,0.001352110708879417,0.0027797865466435284
8.232271309083217e-9,4.12371784863641e-6,5.212541508634316e-4,0.0172030286863899,0.007870614764154515,0.021022869527870136,0.0021252131751862136,3.0772645459697934e-5,0.001076586119995874,1.280606039559556e-5,3.3890437902385694e-5,2.5695347297331285e-5
9.86474183228836e-7,2.9923741433290907e-5,0.001720907293322388,0.008314104865050279,5.4891765264963865e-5,4.948956412891281e-4,0.0011144387451751628,0.002468649242352905,0.003924281185790246,0.0012912907547124913,9.882358910671447e-5,2.0519015870801294e-5
1.3838490697803962e-7,0.0040664447659346965,5.807091872167547e-4,0.005415909829789789,0.2023065774903149,0.0020875439909661675,1.2675338730274005e-4,1.333649746841914e-4,9.165284845735755e-6,1.750993404984939e-5,1.3003035952067907e-4,5.122338993501785e-5
1.093646090355449e-7,7.682365159054274e-4,0.01011216632253321,0.009716650986077435,0.0020535337024311096,9.373967394162526e-4,3.2494708242758463e-4,2.2021179108402028e-4,7.455032747492411e-5,1.1378337257150761e-4,3.065468975485233e-5,6.7000662478616295e-6
1.0341679390624137e-7,0.0014192357593307836,0.01797718464567566,0.004433155662753418,0.0022707214847692485,5.795735124288909e-4,0.0011787037310417305,0.001870655239087582,2.0126163179845502e-4,1.949338468323831e-5,1.9610102777911643e-5,1.0423959203682237e-5
2.406766518414649e-6,4.475782793433509e-4,0.0874066665014317,0.034774683230904935,0.003843940970362385,0.023796920163273505,0.03750638385499409,1.7444531159727106e-4,0.002139614180363214,7.090433432288545e-4,2.457245925766736e-5,1.229092512322616e-5
7.247238212881868e-7,5.957148553539151e-4,0.030095358134524658,0.012004544097074188,0.0020266593854897375,0.0013231602212929253,1.2406100167223767e-4,3.519272468415213e-4,0.003924302084506382,2.5740666363159733e-4,1.900898154927333e-4,5.8254055081641276e-5
6.71130663450666e-8,6.269302502391102e-4,0.008380922285830872,0.007701481631599791,0.0010987545669002038,0.0020147450324786015,0.0019048619411625284,0.002223211996170704,3.762612873463578e-4,5.632554543055779e-5,4.653291395984027e-6,1.8873487345205664e-4
1.1325594493984324e-8,1.552206219890273e-6,2.3528968134145511e-4,3.8680622582617423e-4,5.214615940878353e-4,8.847638498321597e-5,6.270521518445344e-5,1.1032724663863545e-4,6.025714549181464e-5,4.441566952129161e-5,7.131481794883451e-6,7.173289150322174e-7
1.787472238001797e-7,3.5334292906413604e-4,0.002678518975674282,6.57571046688183e-5,3.1501301923220204e-4,2.152043433696719e-4,1.5890892766827236e-4,1.2632280873147307e-4,6.633741008169972e-5,1.3769277546679978e-5,5.120528728472094e-5,7.410722164813421e-7
1.2414480346389922e-6,0.0015024723735581982,0.02253382291888051,0.025364485064981346,0.4150116332079892,0.013411993956482323,0.0029633841744333062,0.00823023237514009,0.009573821314344465,4.55240053554018e-5,0.003309995468490895,2.2340820259758587e-5
9.440257169091026e-6,0.04501083889019786,0.06750678648116151,8.502542167516669e-4,0.06198203388369916,0.07349648201925268,0.0016413675917026861,0.0039586679703554895,3.056198534536758e-4,3.2280047564064995e-4,5.418243893310359e-4,5.55809706291736e-5
3.1556390397054673e-7,1.0069209627117104e-4,0.12097104735326536,0.08589555530150861,0.0012960896687979062,0.017516135825399244,0.004659234927037288,0.01119241288094075,0.007200871771487316,0.0021882357931605617,3.380035447471119e-4,0.0018507934809385731
3.923499642288775e-6,0.002713173998518781,0.004851128290727131,0.003289346474901305,0.007467774983400455,5.229583283266326e-4,5.54479691895593e-4,4.022799318835757e-4,3.456299065429658e-5,4.7819319117925475e-5,5.9327203277281804e-5,1.451562670884421e-5
5.2924593481626246e-5,0.038174121500202614,0.06487429530205861,0.036188270907308,0.0074128027054908285,0.0033354534352288173,0.0024393890003798547,1.611101001646773e-4,1.4082509291180045e-4,2.977218597655096e-4,2.1705655958850456e-5,3.028366314792775e-7
1.0667825844912215e-8,1.1888494636513869e-6,3.2724965646768744e-5,2.0146455651759432e-4,0.02228947942882904,0.05693007083222597,0.6484900165387109,0.034678765378515865,0.033696775010979674,0.005075256284977038,0.005532591462808378,0.018181141671724313
1.3837900443556366e-6,0.00722920025169078,0.1426110290210656,0.029219495187078854,0.0010642249547330807,0.0016354920428403308,3.3533831664300795e-4,9.08166035677547e-5,8.376796807602489e-5,1.3602748099958428e-4,5.577232392750542e-7,3.271862438954354e-7
8.181735855483652e-8,3.935302367016891e-6,0.0022198544961666033,0.015070994570052898,0.02760987559294492,7.97090441849495e-4,0.010206666001359888,0.0016862540591286723,1.7672953606884256e-5,5.347942270571084e-5,8.791764686265358e-5,1.9929540534810442e-4
4.384931131159083e-9,4.388782087139109e-6,0.0016088903116123394,0.03869356047727879,0.0049301177672927965,0.04328116482354538,0.0011736272300592043,3.4524546588232674e-4,0.004761922821463704,7.263642841126572e-5,1.738176168587069e-4,1.944464991477207e-6
6.058716758433613e-7,4.548161497464065e-4,0.1546097263351912,0.027645072825729478,0.046099554184462696,0.005689773290016705,0.03746436447461643,0.008177382077157791,0.0010805327092144879,7.347338049722429e-4,1.402878350080908e-5,2.9388157716470076e-5
2.9131738132903706e-9,7.354109010648813e-8,5.23781945773516e-4,7.952906293383242e-4,1.5831108442061482e-4,7.21988479569502e-5,2.0479845422505248e-5,7.193601668669468e-5,8.640874732512849e-6,3.3419388776323444e-6,8.344452212538657e-7,3.9385432865406537e-7
2.7862834867614147e-9,2.1134698524605255e-7,0.003050302757881518,3.033796189078064e-5,1.4208807217446534e-4,2.182209696596339e-5,6.168777453985363e-5,6.020557344177391e-5,1.6923902901411214e-4,1.0462765140051289e-5,6.322383480625304e-6,8.625792045080516e-7
