,run,seed,beta,phi,phiT,phiU,deltaS,gH,gF
35867,35867,-318238747.0,0.12802,0.025943,0.135589,0.269617,0.481513,0.017815,0.304264
36191,36191,897074907.0,0.168838,0.07782,0.080694,0.243575,0.329093,0.029339,0.191248
36788,36788,512991568.0,0.180686,0.085968,0.086846,0.326713,0.375178,0.052746,0.236908
36875,36875,-1936549850.0,0.146719,0.057199,0.112923,0.217049,0.567382,0.032552,0.413417
37661,37661,-542138788.0,0.18434,0.158294,0.029385,0.271891,0.448847,0.028468,0.481684
37874,37874,-1648668662.0,0.185749,0.239601,0.036748,0.129553,0.276014,0.033298,0.460841
38331,38331,-314236522.0,0.180559,0.07161,0.08893,0.355983,0.731755,0.036896,0.410406
38577,38577,-5718423.0,0.1756,0.054157,0.077397,0.309399,0.721505,0.028135,0.486098
38747,38747,530652646.0,0.188876,0.260486,0.029449,0.379004,0.697628,0.054185,0.23812
38851,38851,-1521249269.0,0.157508,0.10274,0.077046,0.170915,0.436149,0.048136,0.179734
39497,39497,35527935.0,0.173955,0.201034,0.027578,0.305955,0.34324,0.019975,0.110845
39586,39586,1990616790.0,0.228071,0.239279,0.019872,0.308364,0.480891,0.025015,0.242386
40079,40079,1595821487.0,0.202024,0.262185,0.024483,0.37989,0.576782,0.058012,0.31156
40174,40174,1280089690.0,0.145997,0.107937,0.072311,0.30726,0.663305,0.054947,0.235912
40635,40635,30807653.0,0.169675,0.06797,0.117965,0.269388,0.324868,0.052785,0.195477
41002,41002,408477393.0,0.166759,0.072379,0.05653,0.268783,0.88354,0.022165,0.295115
41025,41025,-1928511581.0,0.162549,0.040186,0.141115,0.23633,0.621392,0.02135,0.155554
41268,41268,1431121146.0,0.176013,0.06635,0.138284,0.202897,0.460785,0.050415,0.424452
41399,41399,-900526974.0,0.158944,0.044569,0.125468,0.369386,0.904465,0.029871,0.422687
42297,42297,-1928041355.0,0.185158,0.29981,0.021233,0.274797,0.150507,0.045741,0.203636
42392,42392,2115749462.0,0.18481,0.197059,0.02996,0.176545,0.458474,0.03034,0.472675
42574,42574,-644680170.0,0.133154,0.059039,0.144316,0.291165,0.562169,0.034227,0.295783
42713,42713,1159895857.0,0.156951,0.079278,0.093226,0.234739,0.72342,0.035826,0.363247
44368,44368,494958939.0,0.171897,0.108498,0.083159,0.255305,0.344996,0.049717,0.453047
44728,44728,-754418666.0,0.197557,0.071657,0.110003,0.185002,0.518306,0.038483,0.335689
44854,44854,212869069.0,0.180131,0.158849,0.050131,0.19907,0.473759,0.036327,0.413691
46126,46126,-697462949.0,0.206366,0.07253,0.066966,0.345894,0.778798,0.030938,0.114999
46162,46162,2041710472.0,0.220553,0.1257,0.046278,0.288092,0.498073,0.039554,0.23255
46344,46344,-393963536.0,0.184819,0.076198,0.093082,0.249973,0.309538,0.055117,0.439849
46362,46362,-2121200442.0,0.150615,0.037526,0.090589,0.272141,0.563407,0.014939,0.180855
46812,46812,-1314087872.0,0.168821,0.139192,0.053904,0.293591,0.636161,0.05131,0.347615
46969,46969,1609142894.0,0.206219,0.121198,0.083723,0.167865,0.36625,0.038265,0.398849
47015,47015,-1389905127.0,0.197,0.264664,0.019568,0.27324,0.995763,0.021526,0.388019
48136,48136,-1405614960.0,0.145257,0.116306,0.04609,0.328814,0.693192,0.028295,0.233175
48515,48515,-1006659240.0,0.16716,0.279287,0.023816,0.356289,0.804779,0.032593,0.450413
49182,49182,2118837205.0,0.182175,0.162364,0.031212,0.307215,0.729076,0.025114,0.403279
49188,49188,1095060014.0,0.203616,0.08643,0.043,0.254335,0.759667,0.014945,0.337902
49317,49317,-1792957212.0,0.172402,0.139331,0.05055,0.204467,0.41068,0.02668,0.277304
49401,49401,1259168631.0,0.190122,0.187194,0.041222,0.279522,0.858468,0.03174,0.455073
49956,49956,-1444223248.0,0.175337,0.061574,0.149925,0.169778,0.040757,0.056211,0.471281
50118,50118,-358207702.0,0.22392,0.20522,0.041673,0.144453,0.250732,0.049338,0.242825
50339,50339,-1954939431.0,0.216868,0.189305,0.026288,0.271386,0.272997,0.028166,0.267869
50888,50888,1379853420.0,0.176984,0.278264,0.033015,0.211918,0.262326,0.030412,0.183476
50986,50986,1600012562.0,0.181632,0.059906,0.077805,0.445282,0.992858,0.039069,0.297697
