id indoors taxonomy IndustryID
461 1 Shopping 15
462 1 Shopping 15
463 1 Shopping 15
464 1 Shopping 15
465 1 Shopping 15
466 1 Shopping 15
467 1 Shopping 15
468 0 Sports/Events 3
469 0 Sports/Events 3
470 0 Sports/Events 3
471 0 Sports/Events 3
472 0 Sports/Events 3
473 1 Sports/Events 3
474 1 Sports/Events 3
475 1 Sports/Events 3
476 0 Sports/Events 3
477 0 Sports/Events 3
478 1 Sports/Events 3
479 1 Sports/Events 3
480 0 Sports/Events 3
481 0 Sports/Events 3
482 0 Exercise 3
483 0 Exercise 3
484 1 Exercise 3
485 1 Exercise 3
486 1 Exercise 3
487 0 Exercise 3
488 0 Exercise 3
489 0 Exercise 3
490 0 Exercise 3
491 1 Exercise 3
492 1 Exercise 3
493 1 Exercise 3
494 1 Exercise 3
495 0 Exercise 3
496 0 Exercise 3
497 1 Exercise 3
498 0 Exercise 3
499 0 Exercise 3
500 0 Exercise 3
501 0 Exercise 3
502 0 Exercise 3
503 0 Exercise 3
504 0 Exercise 3
505 0 Exercise 3
506 1 Exercise 3
507 0 Exercise 3
508 0 Exercise 3
509 1 Exercise 3
510 1 Transportation 16
511 1 Transportation 16
512 1 Transportation 16
513 0 Transportation 16
514 0 Transportation 16
515 0 Transportation 16
516 0 Transportation 16
517 1 Transportation 16
518 0 Transportation 16
519 0 Transportation 16
520 1 Transportation 16
521 0 Transportation 16
522 0 Transportation 16
523 0 Transportation 16
524 1 Transportation 16
525 1 Transportation 16
526 0 Transportation 11
527 0 Transportation 16
528 1 Transportation 16
529 1 Transportation 16
530 0 Transportation 16
531 0 Transportation 16
532 1 Transportation 16
533 1 Transportation 16
534 1 Transportation 16
535 0 Transportation 16
536 1 Transportation 2
537 0 Transportation 3
538 1 Transportation 16
539 1 Transportation 16
540 1 Transportation 16
541 1 Transportation 16
542 1 Transportation 16
543 1 Transportation 16
544 1 Transportation 16
545 1 Other 12
546 1 Other 0
547 1 Other 12
548 1 Other 12
549 1 Other 13
550 1 Other 1
551 1 Other 6
552 0 Other 4
553 1 Other 6
554 1 Other 1
555 1 Other 12
556 1 Other 1
557 1 Other 1
558 1 Other 13
559 1 Other 6
560 1 Other 10
561 1 Other 12
562 1 Other 13
563 1 Other 10
564 1 Other 13
565 1 Other 13
566 1 Other 10
567 1 Other 8
568 1 Other 13
569 1 Other 12
570 1 Other 12
571 1 Other 13
572 1 Other 13
573 1 Other 12
574 1 Other 8
575 1 Other 12
576 1 Other 12
577 1 Other 12
578 1 Other 8
579 1 Other 16
580 1 Other 12
581 1 Other 11
582 1 Other 11
583 1 Other 11
584 1 Other 11
585 1 Other 11
586 1 Other 11
587 1 Other 11
588 1 Other 11
589 1 Other 11
